Regime,Epicentro,Ativo,Barreira_Contagio
Regime_1,MGLU3.SA,BBAS3.SA,0.6872
Regime_1,MGLU3.SA,BBDC4.SA,0.6872
Regime_1,MGLU3.SA,ITUB4.SA,0.6872
Regime_1,MGLU3.SA,SANB11.SA,0.6872
Regime_1,MGLU3.SA,CYRE3.SA,0.6872
Regime_1,MGLU3.SA,EZTC3.SA,0.6872
Regime_1,MGLU3.SA,MRVE3.SA,0.6872
Regime_1,MGLU3.SA,BPAC11.SA,0.6872
Regime_1,MGLU3.SA,LREN3.SA,0.6872
Regime_1,MGLU3.SA,CVCB3.SA,0.6872
Regime_1,MGLU3.SA,PETR4.SA,0.6872
Regime_1,MGLU3.SA,VALE3.SA,0.6872
Regime_1,MGLU3.SA,CEAB3.SA,0.6872
Regime_1,LREN3.SA,AMER3.SA,0.6872
Regime_1,LREN3.SA,MGLU3.SA,0.6872
Regime_1,CEAB3.SA,AMER3.SA,0.6872
Regime_1,CEAB3.SA,MGLU3.SA,0.6872
Regime_1,AMER3.SA,B3SA3.SA,0.6872
Regime_1,AMER3.SA,BBAS3.SA,0.6872
Regime_1,AMER3.SA,BBDC4.SA,0.6872
Regime_1,AMER3.SA,ITUB4.SA,0.6872
Regime_1,AMER3.SA,SANB11.SA,0.6872
Regime_1,AMER3.SA,CYRE3.SA,0.6872
Regime_1,AMER3.SA,EZTC3.SA,0.6872
Regime_1,AMER3.SA,MRVE3.SA,0.6872
Regime_1,AMER3.SA,BPAC11.SA,0.6872
Regime_1,AMER3.SA,LREN3.SA,0.6872
Regime_1,AMER3.SA,CVCB3.SA,0.6872
Regime_1,AMER3.SA,PETR4.SA,0.6872
Regime_1,AMER3.SA,VALE3.SA,0.6872
Regime_1,AMER3.SA,CEAB3.SA,0.6872
Regime_1,PETR4.SA,AMER3.SA,0.6872
Regime_1,PETR4.SA,MGLU3.SA,0.6872
Regime_1,VALE3.SA,AMER3.SA,0.6872
Regime_1,VALE3.SA,MGLU3.SA,0.6872
Regime_1,MRVE3.SA,AMER3.SA,0.6872
Regime_1,MRVE3.SA,MGLU3.SA,0.6872
Regime_1,CYRE3.SA,AMER3.SA,0.6872
Regime_1,CYRE3.SA,MGLU3.SA,0.6872
Regime_1,EZTC3.SA,AMER3.SA,0.6872
Regime_1,EZTC3.SA,MGLU3.SA,0.6872
Regime_1,CVCB3.SA,AMER3.SA,0.6872
Regime_1,CVCB3.SA,MGLU3.SA,0.6872
Regime_1,B3SA3.SA,AMER3.SA,0.6872
Regime_1,B3SA3.SA,MGLU3.SA,0.6872
Regime_1,ITUB4.SA,SBSP3.SA,0.6884
Regime_1,BBDC4.SA,SBSP3.SA,0.6884
Regime_1,BBAS3.SA,SBSP3.SA,0.6884
Regime_1,BPAC11.SA,SBSP3.SA,0.6884
Regime_1,SANB11.SA,SBSP3.SA,0.6884
Regime_1,MGLU3.SA,SBSP3.SA,0.6884
Regime_1,LREN3.SA,SBSP3.SA,0.6884
Regime_1,CEAB3.SA,SBSP3.SA,0.6884
Regime_1,AMER3.SA,SBSP3.SA,0.6884
Regime_1,PETR4.SA,SBSP3.SA,0.6884
Regime_1,VALE3.SA,SBSP3.SA,0.6884
Regime_1,SBSP3.SA,AMER3.SA,0.6884
Regime_1,SBSP3.SA,MGLU3.SA,0.6884
Regime_1,SBSP3.SA,B3SA3.SA,0.6884
Regime_1,SBSP3.SA,BBAS3.SA,0.6884
Regime_1,SBSP3.SA,BBDC4.SA,0.6884
Regime_1,SBSP3.SA,ITUB4.SA,0.6884
Regime_1,SBSP3.SA,SANB11.SA,0.6884
Regime_1,SBSP3.SA,CYRE3.SA,0.6884
Regime_1,SBSP3.SA,EZTC3.SA,0.6884
Regime_1,SBSP3.SA,MRVE3.SA,0.6884
Regime_1,SBSP3.SA,BPAC11.SA,0.6884
Regime_1,SBSP3.SA,LREN3.SA,0.6884
Regime_1,SBSP3.SA,CVCB3.SA,0.6884
Regime_1,SBSP3.SA,PETR4.SA,0.6884
Regime_1,SBSP3.SA,VALE3.SA,0.6884
Regime_1,SBSP3.SA,CEAB3.SA,0.6884
Regime_1,MRVE3.SA,SBSP3.SA,0.6884
Regime_1,CYRE3.SA,SBSP3.SA,0.6884
Regime_1,EZTC3.SA,SBSP3.SA,0.6884
Regime_1,CVCB3.SA,SBSP3.SA,0.6884
Regime_1,B3SA3.SA,SBSP3.SA,0.6884
Regime_1,ITUB4.SA,BBSE3.SA,0.7178
Regime_1,BBDC4.SA,BBSE3.SA,0.7178
Regime_1,BBAS3.SA,BBSE3.SA,0.7178
Regime_1,BPAC11.SA,BBSE3.SA,0.7178
Regime_1,SANB11.SA,BBSE3.SA,0.7178
Regime_1,MGLU3.SA,BBSE3.SA,0.7178
Regime_1,LREN3.SA,BBSE3.SA,0.7178
Regime_1,CEAB3.SA,BBSE3.SA,0.7178
Regime_1,AMER3.SA,BBSE3.SA,0.7178
Regime_1,PETR4.SA,BBSE3.SA,0.7178
Regime_1,VALE3.SA,BBSE3.SA,0.7178
Regime_1,SBSP3.SA,BBSE3.SA,0.7178
Regime_1,MRVE3.SA,BBSE3.SA,0.7178
Regime_1,CYRE3.SA,BBSE3.SA,0.7178
Regime_1,EZTC3.SA,BBSE3.SA,0.7178
Regime_1,CVCB3.SA,BBSE3.SA,0.7178
Regime_1,BBSE3.SA,AMER3.SA,0.7178
Regime_1,BBSE3.SA,MGLU3.SA,0.7178
Regime_1,BBSE3.SA,B3SA3.SA,0.7178
Regime_1,BBSE3.SA,BBAS3.SA,0.7178
Regime_1,BBSE3.SA,BBDC4.SA,0.7178
Regime_1,BBSE3.SA,ITUB4.SA,0.7178
Regime_1,BBSE3.SA,SANB11.SA,0.7178
Regime_1,BBSE3.SA,CYRE3.SA,0.7178
Regime_1,BBSE3.SA,EZTC3.SA,0.7178
Regime_1,BBSE3.SA,MRVE3.SA,0.7178
